Symbol,Date,Signal,RSI14,BreakoutStrength,ConfirmationScore
FSL,2026-09-17,False,53.64864761756789,-0.06472600649480953,1
GAIL,2026-09-17,False,46.264272705069,-0.030985915492957705,0
GESHIP,2026-09-17,False,62.444389136597444,-0.001261510124974663,1
GICRE,2026-09-17,False,36.38637252955845,-0.0641696995838229,0
GILLETTE,2026-09-17,False,40.88881299648972,-0.03633366303989449,1
GLAND,2026-09-17,False,55.33564997912541,-0.044115697295159406,2
GLAXO,2026-09-17,False,45.76778684184966,-0.10279746654517663,0
GLENMARK,2026-09-17,False,53.801866861508955,-0.04791933046052488,1
GMDCLTD,2026-09-17,False,40.30255268785322,-0.08627283791337359,0
GMRAIRPORT,2026-09-17,False,40.77538016690593,-0.08067321106080672,0
GODFRYPHLP,2026-09-17,False,33.64550990367958,-0.10365823510324867,0
GODIGIT,2026-09-17,False,45.80909263037643,-0.03784593581229623,1
GODREJAGRO,2026-09-17,False,58.59081265817431,-0.06037953058382639,1
GODREJCP,2026-09-17,False,33.89096637711134,-0.07911392405063289,0
GODREJIND,2026-09-17,False,39.8294260376697,-0.09815996093750001,0
GODREJPROP,2026-09-17,False,24.610709722042856,-0.1989499039752387,0
GPIL,2026-09-17,False,43.92957427543175,-0.06513725729549635,0
GRANULES,2026-09-17,False,52.64663948087795,-0.05765170637415418,1
GRAPHITE,2026-09-17,False,64.1136349587932,-0.06890833382779482,1
GRASIM,2026-09-17,False,39.29748342316612,-0.058706586278181594,0
GRAVITA,2026-09-17,False,30.50422199941886,-0.13284908496855663,0
GRSE,2026-09-17,False,28.22133657573673,-0.13532888069914084,0
GSPL,2026-05-11,False,,,0
GVT&D,2026-09-17,False,48.08131509837681,-0.10031088082901551,0
HAL,2026-09-17,False,46.777342205656,-0.06104755880431656,0
HAPPSTMNDS,2026-09-17,False,29.37444990441695,-0.2829652249084841,0
HAVELLS,2026-09-17,False,21.972950120675648,-0.16424305800993244,0
HBLENGINE,2026-09-17,False,64.68290875750972,-0.02076861807258268,2
HCLTECH,2026-09-17,False,45.986120659930975,-0.08019002278645837,0
HDFCAMC,2026-09-17,False,34.3736156608896,-0.11501113744556157,0
HDFCBANK,2026-09-17,False,46.94780446129296,-0.03616086515714767,0
HDFCLIFE,2026-09-17,False,58.20199010764495,-0.011535048802129522,2
HEG,2026-09-17,False,16.292286895580872,-0.7004907869219774,0
HEROMOTOCO,2026-09-17,False,47.13266154781474,-0.07238045466422782,1
HEXT,2026-09-17,False,46.65950417632903,-0.08419581705569834,0
HFCL,2026-09-17,False,39.5000210862898,-0.1840670549741985,0
HINDALCO,2026-09-17,False,41.9715321357016,-0.0765681343844854,0
HINDCOPPER,2026-09-17,False,37.12997741313213,-0.17256071580741372,0
HINDPETRO,2026-09-17,False,37.29720547060835,-0.08147761359422556,0
HINDUNILVR,2026-09-17,False,37.60331692815934,-0.05346262312628991,0
HINDZINC,2026-09-17,False,46.419922095587744,-0.09446204463137853,0
HOMEFIRST,2026-09-17,False,44.269212593458754,-0.05993103775416442,1
HONASA,2026-09-17,False,44.75652400022383,-0.06767982552479102,0
HONAUT,2026-09-17,False,32.562866799289225,-0.08806130680290403,0
HSCL,2026-09-17,False,39.7682615826872,-0.1488405466829109,0
HUDCO,2026-09-17,False,22.66567924235453,-0.11692706743876136,1
HYUNDAI,2026-09-17,False,47.46549573179127,-0.053046909250328844,1
ICICIBANK,2026-09-17,False,31.71722529276923,-0.07317745833154232,0
ICICIGI,2026-09-17,False,37.19798746124789,-0.09896972656250003,0
ICICIPRULI,2026-09-17,False,50.37614875623756,-0.06704707560627676,2
IDBI,2026-09-17,False,39.9309330414628,-0.14919481153612013,0
IDEA,2026-09-17,False,46.30988250012079,-0.09942999991242385,0
IDFCFIRSTB,2026-09-17,False,54.78519593878494,-0.02009076814667976,2
IEX,2026-09-17,False,30.63993422789831,-0.09316274483461617,0
IFCI,2026-09-17,False,41.054945941183284,-0.2828837549963663,1
IGIL,2026-09-17,False,33.60600189011579,-0.09899858684839946,0
